Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms)
2022-06-05,148,1589.3764004706595,8464.199550151825,70.0,70,0.7530705722134584,1.4684803485870361,0.2510583996772766,12589,,,,,5949008,,
2022-06-06,124,2062.828453219183,3029.56032538414,2.0,2,0.5278617300928878,1.2739131450653076,0.25564688444137573,4823,,,,,639472,,
2022-06-07,,2028.5676125772566,,,,,,,,,,,,,,
2022-06-08,42,2126.4314388134544,2428.326314687729,16.0,16,0.7511575122028409,1.4126629829406738,0.2615191638469696,3678,,,,,1826611,,
2022-06-09,,2028.5675233059937,,,,,,,,,,,,,,
2022-06-10,49,2095.5949614704546,2307.336488723755,15.0,15,0.8059759543267415,1.436305046081543,0.31382298469543457,3507,,,,,1251054,,
2022-06-11,80,2471.224344754382,4491.209438085556,15.0,15,0.5686371676616071,1.4327647686004639,0.25357919931411743,6710,111.78774642944337,111.99185943603516,111.58363342285156,,4638145,,
2022-06-12,146,2866.956042807537,9019.324628829956,44.0,44,0.8272457882760873,1.6062124967575073,0.26510554552078247,12417,,,,,8789627,,
2022-06-13,115,2648.529786844234,7439.139329075813,56.0,46,0.631679421484398,4.047183513641357,0.25494110584259033,8565,,,,,5870212,536536,
2022-06-14,126,2476.3203107209106,7161.807210326195,46.0,39,0.60480019588765,6.540718078613281,0.25357919931411743,8907,,,,,4363711,65783,
2022-06-15,10,2087.981157539615,450.6413413565606,,,0.3360992623389784,1.3440556526184082,0.25357919931411743,758,,,,,560554,,
2022-06-16,15,2133.796296574322,729.5790185928345,,,0.7502790619976123,1.6317477226257324,0.2918550372123718,1205,,,,,1043594,,
2022-06-17,291,3623.3358193290373,16631.443443894386,48.0,48,0.7366690683167755,1.6563823223114014,0.2521108090877533,23451,,,,,16780009,,
2022-06-18,255,3452.2626023175985,14801.398030281067,74.0,74,0.7663925949136727,1.7472988367080688,0.25272855162620544,20717,,,,,14972797,,
2022-06-19,178,3134.944955825555,10705.725565075874,55.0,55,0.6907760269868551,1.5280306339263916,0.25357919931411743,14966,,,,,11620656,,
2022-06-20,14,2103.106504915052,588.7517232894897,,,0.5533505813523025,1.2643053531646729,0.3227371573448181,925,,,,,720338,,
2022-06-21,2,2044.9260283234705,165.7412931919098,,,0.5507149038374288,1.1115058660507202,0.2996844947338104,295,,,,,105721,,
2022-06-22,14,2141.167952354443,633.4603185653687,,,0.33475016351311326,1.3926252126693726,0.2996844947338104,971,,,,,1122418,,
2022-06-23,45,2248.60331172501,2195.194923877716,9.0,9,0.5255096489506226,1.6942049264907837,0.27663183212280273,3092,,,,,2256588,,
2022-06-24,,2034.918380439224,13.278429985046387,,,0.28343427181243896,0.28343427181243896,0.28343427181243896,92,,,,,,,
2022-06-25,,2040.8154619763154,65.00849199295044,,,0.3457898497581482,0.3457898497581482,0.3457898497581482,146,,,,,62296,,
2022-06-26,43,2297.631041433002,1863.1314978599548,1.0,1,0.5641546289035815,1.447668433189392,0.27135977149009705,2832,,,,,2775291,,
2022-06-27,6,2071.2088606936068,361.45542573928833,,,0.45511821887965903,1.3700804710388184,0.25357919931411743,601,,,,,383372,,
2022-06-28,,2034.9183052527533,51.17689800262451,,,0.345789834856987,0.3457898497581482,0.3457898199558258,167,,,,,,,
2022-06-29,,2034.9183188540464,98.8958945274353,,,0.304968232534106,0.3457898497581482,0.26510554552078247,196,,,,,,,
2022-06-30,1,2043.5176578040505,133.47488164901733,,,0.3160666643563898,0.3457898497581482,0.27663183212280273,226,,,,,90842,,
2022-07-01,16,2145.2066306431802,870.5972876548767,5.0,5,0.4565126243103579,1.4145917892456055,0.3457898199558258,1307,,,,,1165084,,
2022-07-02,41,2173.168949137774,2164.239502429962,9.0,9,0.46970261662478935,1.5838329792022705,0.27663183212280273,3151,,,,,1460475,,
2022-07-03,21,2110.1450643110074,1094.7972073554993,4.0,4,0.5188253467673712,1.4548604488372803,0.25357919931411743,1676,,,,,794693,,
2022-07-04,29,2259.8203354823454,2004.6721218824387,12.0,12,0.4091330056588481,1.7452903985977173,0.25357919931411743,2818,,,,,2375858,,
2022-07-05,10,2083.471190044897,698.3408325910568,3.0,3,0.363301279220723,1.4282578229904175,0.26510554552078247,1079,,,,,512911,,
2022-07-06,17,2112.7740241951124,873.5081129074097,2.0,2,0.5318953297708688,1.3681070804595947,0.27663183212280273,1333,,,,,822465,,
2022-07-07,2,2053.135077106452,67.08323001861572,,,0.5391321331262589,0.6999191641807556,0.3783451020717621,193,,,,,192440,,
2022-07-08,35,2137.5700789369853,1471.8271017074585,,,5.43004179063098,36.529998779296875,0.26510554552078247,1956,,,,,1084411,,
2022-07-09,196,2977.6663672018335,9846.548666074872,40.0,37,0.6251785170559121,3.0470755100250244,0.25286275148391724,13311,,,,,9877068,70959,
2022-07-10,80,2412.2634526453844,4173.347649812698,24.0,24,2.1090859786471796,30.270000457763672,0.26510554552078247,5676,,,,,3986265,,
2022-07-11,38,2176.5289980240514,1673.1913384199142,4.0,4,0.5048309504776785,1.5589317083358765,0.2540605962276459,2594,,,,,1495740,,
2022-07-12,53,2217.4334016865996,3221.023619413376,23.0,23,0.5079285822014995,1.5635755062103271,0.26510554552078247,4539,,,,,1928084,,
2022-07-13,118,2437.3623760842315,6268.5620131492615,24.0,24,0.6212297709458431,18.688711166381836,0.2996844947338104,8584,,,,,4251050,,
2022-07-14,83,2188.2961566527074,2931.2980301976204,2.0,2,0.48058220337507396,1.3879145383834839,0.27663183212280273,4476,,,,,1620280,,
2022-07-15,125,2497.5648069841177,6525.8034744262695,21.0,21,0.44476177772738634,2.864180564880371,0.26510554552078247,9160,,,,,4761977,,
2022-07-16,196,2693.294152443021,10391.069215416908,39.0,39,0.6835841355563852,2.1764140129089355,0.25357919931411743,14498,,,,,6955065,,
2022-07-17,159,2776.129119254695,7717.389036417007,37.0,37,1.9233604874599246,37.054141998291016,0.25357919931411743,10306,,,,1189593,6513513,,
2022-07-18,29,2141.936908303154,1301.5068225860596,,,0.6882679224799044,1.7000224590301514,0.2881581783294678,2097,,,,,1130543,,
2022-07-19,140,2606.646196598628,6998.93868970871,31.0,31,0.7040507466241053,2.0113768577575684,0.2472570538520813,10088,,,,,6802405,,
2022-07-20,162,2686.9515678974262,7804.47899544239,32.0,32,0.7514979352203649,1.9220916032791138,0.2595224678516388,11180,,,,,6868971,,
2022-07-21,126,2456.245606295273,5999.530968904495,14.0,14,0.4038393300738095,1.5733954906463623,0.25357919931411743,8474,,,,,4428655,,
2022-07-22,146,2542.816351643032,7892.139790698886,24.0,24,0.6134556635611946,2.3797483444213867,0.25357919931411743,11425,,,,,5365423,,
2022-07-23,127,2771.005964273847,12003.57671958208,119.0,64,0.6411064805243163,3.9093737602233887,0.250145822763443,13365,,,,,2328472,3792345,
2022-07-24,139,2532.2118434202716,7194.012066602707,30.0,30,0.705395926385374,2.127056121826172,0.13411203026771545,10028,,,,,5143470,,
2022-07-25,147,2485.2603621669796,7655.804738223553,30.0,30,0.5043307976255145,2.331063747406006,0.24723851680755615,10423,,,,,4733875,,
2022-07-26,129,2631.8027111209954,7782.148090958595,55.0,55,0.4474562027719689,3.569999933242798,0.25357919931411743,10167,,,,,6129645,,
2022-07-27,126,2609.2920390292857,7446.625730514526,24.0,24,0.4005011718101649,2.8007466793060303,0.25357919931411743,10271,,,,,6067671,,
2022-07-28,140,2541.603641641092,7433.197406306863,21.0,21,0.48527113501530733,2.762040138244629,0.25357919931411743,10070,,,,,4722508,283045,
2022-07-29,135,2613.491442735135,7452.767742872238,12.0,12,0.594018440229502,2.5024333000183105,0.25357919931411743,10352,,,,,5299238,366795,
2022-07-30,195,2548.716775846893,9428.108539223671,36.0,36,0.5127974787074141,3.1497480869293213,0.25357919931411743,13338,,,,,5372063,,
2022-07-31,146,2565.475411565096,8131.222732573748,30.0,29,0.47371075381148253,2.979478359222412,0.25357919931411743,11154,,,,,5601363,,
2022-08-01,112,2550.6106286265767,7708.031835928559,69.0,69,0.4861472909170966,2.449983835220337,0.26510554552078247,10424,,,,,5447763,,
2022-08-02,143,2570.1751571606337,7195.262340784073,16.0,16,0.44566231154787117,2.883592367172241,0.25357919931411743,10150,,,,,5635543,,
2022-08-03,140,2922.754514912747,7451.459180355072,33.0,33,0.43596311117737657,2.0758697986602783,0.24966776371002197,10260,109.54246520996094,109.54246520996094,109.54246520996094,,5510588,1482732,463948
2022-08-04,136,2589.5916647080107,7557.178786724806,36.0,36,0.7326860218564604,3.1757936477661133,0.26143085956573486,10478,,,,,5480184,,463729
2022-08-05,138,2535.335804738233,7585.332150578499,51.0,48,0.6150063662647873,2.7261624336242676,0.25357919931411743,10206,,,,,5683361,,
2022-08-06,186,2933.2140549983324,9812.481042467058,30.0,30,0.42044340407277225,1.4704549312591553,0.2535792291164398,13443,,,,,9912797,,
2022-08-07,140,3104.458919825095,8212.743232399225,55.0,52,0.5619420021317069,2.418166399002075,0.25357919931411743,11444,,,,,3743930,3646582,
2022-08-08,137,2576.657584621958,8157.688641548157,65.0,65,0.45320977986356076,1.7008525133132935,0.2517247498035431,11320,,,,,6130763,,
2022-08-09,136,2484.5199035380138,7512.158148884773,33.0,33,0.4388261290144796,1.7604838609695435,0.27663183212280273,10522,,,,,5133164,,
2022-08-10,,660.7119916047591,28.35476779937744,,,0.3457898497581482,0.3457898497581482,0.3457898497581482,42,,,,,,,
